_id,bid,comment_num,content,created_at,like_num,repost_num,tool,user_id,weibo_url
4953203831477020,Nmk4D6ceU,0,【#日本第二轮核污染水排海预计持续17天#】据日本TBS电视台网站今天（4日）报道，东京电力公司计划于当地时间5日上午10点半（北京时间5日上午9点半）开始进行福岛第一核电站核污染水第二轮排海。据称，东电已经在本月3日之前进行了排海准备工作。第二轮排海计划排出大约7800吨核污染水，与第一轮排放量 ...全文,2023-10-04,0,0,微博发布平台专业版,1881159861,https://m.weibo.cn/detail/4953203831477020
4953203827807104,Nmk4CwKZ2,0,【#日本第二轮核污染水排海预计持续17天#】据日本TBS电视台网站今天（4日）报道，东京电力公司计划于当地时间5日上午10点半（北京时间5日上午9点半）开始进行福岛第一核电站核污染水第二轮排海。据称，东电已经在本月3日之前进行了排海准备工作。第二轮排海计划排出大约7800吨核污染水，与第一轮排放量 ...全文,2023-10-04,0,0,微博发布平台专业版,1778758223,https://m.weibo.cn/detail/4953203827807104
4953203827019291,Nmk4Cts2n,0,【#日本第二轮核污染水排海预计持续17天#】据日本TBS电视台网站今天（4日）报道，东京电力公司计划于当地时间5日上午10点半（北京时间5日上午9点半）开始进行福岛第一核电站核污染水第二轮排海。据称，东电已经在本月3日之前进行了排海准备工作。第二轮排海计划排出大约7800吨核污染水，与第一轮排放量 ...全文,2023-10-04,0,0,微博发布平台专业版,3248050592,https://m.weibo.cn/detail/4953203827019291
4953203826235816,Nmk4CqadG,0,【#日本第二轮核污染水排海预计持续17天#】据日本TBS电视台网站今天（4日）报道，东京电力公司计划于当地时间5日上午10点半（北京时间5日上午9点半）开始进行福岛第一核电站核污染水第二轮排海。据称，东电已经在本月3日之前进行了排海准备工作。第二轮排海计划排出大约7800吨核污染水，与第一轮排放量 ...全文,2023-10-04,1,0,微博发布平台专业版,1259295385,https://m.weibo.cn/detail/4953203826235816
4953203822299667,Nmk4C9Efp,0,【#日本第二轮核污染水排海预计持续17天#】据日本TBS电视台网站今天（4日）报道，东京电力公司计划于当地时间5日上午10点半（北京时间5日上午9点半）开始进行福岛第一核电站核污染水第二轮排海。据称，东电已经在本月3日之前进行了排海准备工作。第二轮排海计划排出大约7800吨核污染水，与第一轮排放量 ...全文,2023-10-04,0,0,微博发布平台专业版,1712686623,https://m.weibo.cn/detail/4953203822299667
4953199901934876,NmjYi87lG,35,【#日本第二轮核污染水排海预计持续17天#】据日本TBS电视台网站今天（4日）报道，东京电力公司计划于当地时间5日上午10点半（北京时间5日上午9点半）开始进行福岛第一核电站核污染水第二轮排海。据称，东电已经在本月3日之前进行了排海准备工作。第二轮排海计划排出大约7800吨核污染水，与第一轮排放量 ...全文,2023-10-04,168,21,微博网页版,2028810631,https://m.weibo.cn/detail/4953199901934876
4953198873543150,NmjWDeRJA,0,【#日本明日开始第二轮核污染水排海# 】据日本TBS电视台网站今日（4日）报道，东京电力公司计划于当地时间5日上午10点半（北京时间5日上午9点半）开始进行福岛第一核电站核污染水第二轮排海。网页链接  据称，东电已经在本月3日之前进行了排海准备工作。第二轮排海计划排出大约7800吨核污 ...全文,2023-10-04,1,0,微博网页版,7310744124,https://m.weibo.cn/detail/4953198873543150
4953197867701620,NmjV0wjxG,0,【#日本第二轮核污染水排海将从10月5日开始# 日本东电明早十时半第二轮核污水排海，预计持续17日】日本计划明日开始第二轮福岛核污水排海。据日本传媒报道，东京电力公司计划当地明早10时半，开始进行福岛第一核电站核污染水第二轮排海。 报道又指，东电已经在本月三日前进行排海准备工作。第二轮排海 ...全文,2023-10-04,1,0,微博网页版,5507836092,https://m.weibo.cn/detail/4953197867701620
4953196268099043,NmjSqxYVJ,0,【#日本明天上午开始第二轮核污染水排海#】据日本TBS电视台网站今天（4日）报道，东京电力公司计划于当地时间5日上午10点半（北京时间5日上午9点半）开始进行福岛第一核电站核污染水第二轮排海。据称，东电已经在本月3日之前进行了排海准备工作。第二轮排海计划排出大约7800吨核污染水，与第一轮排放量 ...全文,2023-10-04,2,2,HUAWEI P50 Pro,2248134120,https://m.weibo.cn/detail/4953196268099043
4953194494431415,NmjPziAOr,0,【#日本计划明起第二轮核污染水排海#】#第二轮核污染水排海预计持续17天#据日本TBS电视台网站今天（4日）报道，东京电力公司计划于当地时间5日上午10点半（北京时间5日上午9点半）开始进行福岛第一核电站核污染水第二轮排海。据称，东电已经在本月3日之前进行了排海准备工作。第二轮排海计划排出大约78 ...全文,2023-10-04,0,0,微博 weibo.com,5745238615,https://m.weibo.cn/detail/4953194494431415
