_id,bid,comment_num,content,created_at,like_num,repost_num,tool,user_id,weibo_url
4953563778777392,NmtrbAPoQ,1,【漫话天下丨舍本逐末 Selfish and reckless】日本于10月5日正式启动第二轮核污染水排海，计划排出大约7800吨核污水，预计持续17天。据报道，日本在处理核污水上选择所谓最省钱方案，却斥巨资用于公关，以期扭转外界对日本此举的负面评价，“洗白”自己。日本如此舍本逐末，在污染全球海洋环境的同时， ...全文,2023-10-05,17,6,微博网页版,3173633817,https://m.weibo.cn/detail/4953563778777392
4953563403916896,NmtqAgqXK,0,#日本启动核污染水第二轮排海##日本开始准备核污染水第二轮排海#  抵制日货就完事儿。 是鬼子不让全世界好好活在先的。 ,2023-10-05,2,0,HarmonyOS设备,3056176211,https://m.weibo.cn/detail/4953563403916896
4953557620230265,Nmthg0XTX,13,【#日本民众冒雨抗议第二轮核污染水排海#】当地时间10月5日上午，日本东京电力公司启动福岛第一核电站核污染水第二轮排海。10月4日晚，日本多个市民团体冒雨聚集在位于东京千代田区的东电公司总部附近，强烈反对日本政府启动第二轮核污染水排海。（记者 朱晨曦） 中新视频的微博视频 ,2023-10-05,137,18,微博视频号,2769885021,https://m.weibo.cn/detail/4953557620230265
4953557583791095,NmthcfUeH,0,#日本开始第二轮核污染水排海#【日本今日启动核污水第二轮排海，日民众赴东电总部门前抗议】日本东京电力公司计划于当地时间10月5日上午10点半，即北京时间5日上午9点半，开始进行福岛第一核电站核污染水第二轮排海。日本民众4日前往东电公司总部抗议，要求日本政府和东电立即终止排海。虽然日本民众坚 ...全文,2023-10-05,0,0,微博视频号,1612660824,https://m.weibo.cn/detail/4953557583791095
4953553333652698,Nmtalfkeu,0,当地时间10月5日10时30分左右 日本东京电力公司福岛第一核电站 开始第二批次核污染水排海 预计将持续17天 日本在8月24日正式启动福岛核污染水排海，第一批次的核污染水在8月24日至9月11日排完，共计7788吨核污染水排入大海。 第二批次的排放量仍为7800吨左右。也就是说，核污染水排海开始后的短短两个 ...全文,2023-10-05,0,1,iPhone客户端,6038315894,https://m.weibo.cn/detail/4953553333652698
4953544501235911,NmsW65bw3,0,今天日本排放的核污水7800万吨。没有净化只单纯的沉淀也算是稀释了么。#日本核污水##日本将启动第二轮核污染水排海##环境监测##核辐射##核污染# ,2023-10-05,6,0,Redmi Note 11T Pro,2790734495,https://m.weibo.cn/detail/4953544501235911
4953543050528913,NmsTL2dAR,0,#日本将启动第二轮核污染水排海# #日本将启动第二轮核污染水排海# #日本火山##日本海啸#  小鬼子排放核污染水的第43天，老天有眼,2023-10-05,0,0,nova 9 精彩由我摄定,7833512224,https://m.weibo.cn/detail/4953543050528913
4953542228181145,NmsSqykhX,0,#富士山爆发若达5级东京会受影响##日本核污染水排海正式开始##日本核污染水下午排入海洋#  20230824 祈祷阿富爆发🙏*33*34#日方反咬中国洗白不了排污入海劣迹# #日本将启动第二轮核污染水排海# ,2023-10-05,1,0,nova8Pro我由我掌镜,6678157280,https://m.weibo.cn/detail/4953542228181145
4953539586032441,NmsOapjjr,0,#日本将启动第二轮核污染水排海# 【突发地震！引发海啸已抵达海岸！】据央视新闻客户端报道，当地时间10月5日10时30分左右，日本东京电力公司福岛第一核电站核污染水第二轮排海开始。按照东电此前公布的计划，第二轮计划排海的核污染水总量约为7800吨，排放周期预计为17天。突发地震！引发海啸已抵达海岸！ ,2023-10-05,1,0,微博网页版,2014046445,https://m.weibo.cn/detail/4953539586032441
4953539455746853,NmsNXo71b,0,#日本将启动第二轮核污染水排海# 日本在巴西买了一块是日本3倍的地！打算移民！花700亿压热度！！日本想要迁移国家人民，已经不顾周边国家安危了！#日本迁移##日本核污染水已排海6100吨# ,2023-10-05,3,0,Redmi K40S,7848446401,https://m.weibo.cn/detail/4953539455746853
4953533772990348,NmsENcxVq,0,【漫话天下丨舍本逐末】日本于10月5日正式启动第二轮核污染水排海，计划排出大约7800吨核污水，预计持续17天。据报道，日本在处理核污水上选择所谓最省钱方案，却斥巨资用于公关，以期扭转外界对日本此举的负面评价，“洗白”自己。日本如此舍本逐末，在污染全球海洋环境的同时，也玷污了其国家形象。 ,2023-10-05,25,9,微博网页版,7402706918,https://m.weibo.cn/detail/4953533772990348
