_id,bid,comment_num,content,created_at,like_num,repost_num,tool,user_id,weibo_url
4946927571438061,NjGND626x,0,#日本核污染水排海正式开始##日本水产行业哀鸿遍野# 希望日本从地球上消失，大核民族，这个民族都有核辐射 ,2023-09-17,0,0,moto edge S30,2378395147,https://m.weibo.cn/detail/4946927571438061
4946609450257420,Njywx14XW,10,IAEA给日本核污水排海背书的报应来了！  美媒：#国际原子能机构# （IAEA）目前有2.2亿欧元的资金缺口，而美国长期拖欠会费，这一次中国也无意缴纳6000万欧元的会费！总干事格罗西悲观称：“没有这些会费，IAEA或会在月内停摆。”  我们不缴会费是有正当的合理的理由，一个没有权威性的国际组织，已经沦 ...全文,2023-09-16,58,3,HarmonyOS设备,1201016517,https://m.weibo.cn/detail/4946609450257420
4946191701246865,NjnEK5emJ,0,【#核污水排海#｜日本食品入口商：水产留货场逾12小时未获检验，促香港食环增人手】日本上月底开始排放核污水，香港特区政府随即禁止日本10个都县的水产进口。港府指，现时对来自日本的水产均会严格把关，所有水产无论来自哪个县份都会全部检测，其他食品则会抽检，检测包括食品辐射含量。不过，有日本 ...全文,2023-09-15,1,0,微博网页版,5507836092,https://m.weibo.cn/detail/4946191701246865
4946006343419206,NjiPMeluu,1,日本福岛当地居民状告东京电力公司，核辐射造成多人患甲状腺癌！  核辐射，核污水，那个都是致命的污染环境元凶？  日本不顾民众民意肆意妄为的排泄核污水入海，最先受到伤害的就是他们自己民众！  近日，福岛当地居民组织大量群众上街游行，反对核污水排放入海的行径，目前因福岛核电站辐射污染造成当 ...全文,2023-09-14,50,9,HarmonyOS设备,1201016517,https://m.weibo.cn/detail/4946006343419206
4945949102178903,Njhls98PB,2,【#核污水排海#｜香港食安中心检测218个日本进口食品样本辐射水平，全部合格】香港环境及生态局公布，截至今日中午的过去24小时，食安中心再对218个日本进口食品样本，包括125个水产及相关制品作辐射水平检测，未发现辐射水平超出安全标准。 环境及生态局发言人表示，香港渔护署再对50个本地渔产品样本 ...全文,2023-09-14,0,0,微博网页版,5507836092,https://m.weibo.cn/detail/4945949102178903
4945441511705451,Nj48L79Fh,0,【#围炉#·梁美仪｜海盐无助预防辐射，日本旅行要吃得精明】“围炉”时政节目Youtube Channel第82集，香港城市大学海洋污染国家重点实验室主任梁美仪教授接受嘉宾主持公共政策顾问林致茵的访问，节目由9月11日起一连三日播出，梁美仪教授与林致茵在第三节的访问中，探讨日方宣称排放核污水计划年期是否 ...全文,2023-09-13,2,0,微博视频号,5507836092,https://m.weibo.cn/detail/4945441511705451
4945239481781649,NiYSU7tuh,1,他们还不知道发生了什么  #健康生活##日本水产行业哀鸿遍野#  Eleven11dream的微博视频 ,2023-09-12,0,0,微博视频号,6329309255,https://m.weibo.cn/detail/4945239481781649
4944740773528470,NiLUxeNUO,0,"【凤凰连麦|人权理事会将重点讨论日本排放核污染水】#日本核污染水已进入大海##日本水产行业哀鸿遍野#  联合国第54届人权理事会,将于9月11日到10月13日在日内瓦万国宫召开，本次会议主席回答本台记者提问时透露，由于日本排放福岛核污水事件，在全球舆论不断发酵，引起人权领域强烈关注，本届会议的与 ...全文",2023-09-11,2,0,微博网页版,5654254535,https://m.weibo.cn/detail/4944740773528470
4944535781117397,NiGzU4GGx,0,日本电视台找了到日本旅游的中国游客采访：你们在这吃日料买化妆品，不担心吗？  哎！又被鬼子当枪使了#日本水产行业哀鸿遍野# #食品安全#谁先吃完谁先走#千与千寻#,2023-09-10,0,0,OPPO Reno6 Pro+ 5G,2295199420,https://m.weibo.cn/detail/4944535781117397
4944524112565430,NiGh5aLnU,0,#日本水产行业哀鸿遍野# 提防和杜绝日本将受核污染的水产品卖给挪威等国，再经无良商家冒充挪威水产品高价出口中国。 ,2023-09-10,0,0,微博轻享版,7834981625,https://m.weibo.cn/detail/4944524112565430
